kit,algorithm,variant,fms,fms_raw,n_disconnected,too_pessimistic,too_optimistic,matched
06_Zampis_targeted-22,water_network,margin_5.0,0.7701,0.7701,2,44,191,366
06_Zampis_targeted-22,water_network,bidir_1.0,0.7572,0.7572,2,150,94,357
06_Zampis_targeted-22,water_network,bidir_0.5,0.7572,0.7572,2,150,94,357
06_Zampis_targeted-22,water_network,uncap_pv,0.7585,0.7585,2,150,93,358
06_Zampis_targeted-22,water_network,supply_unbounded,0.7585,0.7585,2,150,93,358
06_Zampis_targeted-22,water_network,split_floor_0.5,0.7572,0.7572,2,150,94,357
06_Zampis_targeted-22,water_network,split_full,0.7624,0.7624,2,133,107,361
06_Zampis_targeted-22,water_network,bidir+vfloor_1.0,0.7553,0.7553,2,150,96,355
06_Zampis_targeted-22,water_network,bidir+margin_1.5,0.7933,0.7933,2,103,113,385
06_Zampis_targeted-22,water_network,bidir+uncap_pv,0.7572,0.7572,2,150,94,357
06_Zampis_targeted-22,water_network,margin_2.0+split_full,0.8435,0.8435,2,56,121,424
06_Zampis_targeted-22,water_network,margin_3.0+split_full,0.8036,0.8036,2,56,152,393
06_Zampis_targeted-22,water_network,margin_2.0+split_0.5,0.8435,0.8435,2,56,121,424
07_Cassacco_targeted-3,water_network,control,0.9515,0.76,243,19,0,391
07_Cassacco_targeted-3,water_network,vfloor_0.5,0.9515,0.76,243,19,0,391
07_Cassacco_targeted-3,water_network,vfloor_1.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,vfloor_2.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,constv_1.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,constv_2.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,margin_1.5,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,margin_2.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,margin_3.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,margin_5.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,bidir_1.0,0.9515,0.76,243,19,0,391
07_Cassacco_targeted-3,water_network,bidir_0.5,0.9515,0.76,243,19,0,391
07_Cassacco_targeted-3,water_network,uncap_pv,0.9515,0.76,243,19,0,391
07_Cassacco_targeted-3,water_network,supply_unbounded,0.9515,0.76,243,19,0,391
07_Cassacco_targeted-3,water_network,split_floor_0.5,0.9515,0.76,243,19,0,391
07_Cassacco_targeted-3,water_network,split_full,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,bidir+vfloor_1.0,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,bidir+margin_1.5,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,bidir+uncap_pv,0.9515,0.76,243,19,0,391
